timestart,timeend,responsetype,ipaddress,progress,duration,finished,timerecorded,responseid,lastname,firstname,email,externaldata,latitude,longitude,distribution,language,recaptcha,optin,signature_id,signature_file,signature_size,signature_path,prolificid_resp,age,shouldconcern,progressivity_early,viewchange,viewchange_oth,viewbetter,viewbetter_oth,viewworse,viewworse_oth,poorbenefit,bothbenefit,middlebenefit,taxdemotivates,gapmotivates,fundedu,protecttrade,cuttaxes,univhealth,wealthtax,zerosumrich,zerosumceo,zerosumwomen,zerosumdei,moveup20,moveup50,moveupnow,workhaspaid,workwillpay,eduwillpay,compmoth,compfath,compfam,compper,nohh,hhin10,pinc,pinc10est,pinc10cert,pinc10high,pinc10low,hhinc,hhinc10exp,hhinc10cert,hhinc10high,hhinc10low,hhincneed,child30s,hhincneed30s,child40s,hhincneed40s,stranger100,friend100,oneyr1100,oneyr1500,oneyr2000,fiveyr1100,fiveyr1500,fiveyr2000,currentdesires,ranksalary,rankflex,rankgrowth,rankmeaning,rankenviron,satisfiedbasics,startbiz,stableincome,worriedjob,similarjob,safetynet,riskai,riskclimate,riskhealth,riskhome,progressivity_late,gender,marital,marital_oth,children,childrenplan,race,race_oth,usborn,usbornparents,state,zip,density,homestate,hometown,homedensity,student,edu,eduplan,edumoth,edufath,employment,ideolecon,ideolsocial,vote2024,vote2020,surveybias,feedback,prolificid,progressivity_timing
7/24/25 13:37,7/24/25 13:41,IP Address,207.104.46.41,100,266,TRUE,7/24/25 13:41,R_3M6YJ87RRKtTOch,,,,,26.1374,-80.1684,anonymous,EN,0.8999999761581421,1,F_3lsPNpqDQKbn43J,signature.png,9159,image/png,,20,The government should not concern itself with this.,,No change,,,,,,Support slightly,,,Neutral,Agree somewhat,Indifferent,Agree somewhat,Agree somewhat,Disagree somewhat,Disagree somewhat,Disagree somewhat,Disagree somewhat,Disagree somewhat,Disagree strongly,Unlikely (20-40%),Almost no chance (0-20%),Much harder now,It has paid off somewhat,It will pay off a lot,It will pay off a lot,Below average,Below average,Above average,Average,"No, someone else also earns income","Yes, more than one person",10000,10000000,Very certain,100000,10000,350000,1000000,Very certain,1000000,300000,200000,Will not have children,600000,Will not have children,2000000,$91-$100,$91-$100,"$1,000 today","$1,500 in 1 year","$2,000 in 1 year","$1,000 today","$1,000 today","$2,000 in 5 years",Agree strongly,,,,,,Neutral,Maybe,Neutral,Somewhat worried,Unlikely (10-40%),1–3 months,The risk is high,The risk is substantial,The risk is substantial,The risk is low,Somewhat less progressive,Male,Single,,0,Unsure,"American Indian or Alaska Native,Asian or Asian American",,Yes,No,Florida,33328,Suburban,Florida,Plantation,Suburban,4-year college,Some college,4-year college degree,"Master's degree (e.g., MA, MS, MBA)","Master's degree (e.g., MA, MS, MBA)",Student,Moderate,Moderate,Kamala Harris,I did not vote,Unbiased,,66be603679dd3fda988c1778,late
7/24/25 13:34,7/24/25 13:45,IP Address,174.81.214.133,100,609,TRUE,7/24/25 13:45,R_5Cdp3dLDHIBUktP,,,,,43.2814,-83.5297,anonymous,EN,1,1,F_4PgGccwVGfRoESJ,signature.png,5985,image/png,,27,The government should concern itself with this.,,No change,,,,,,Support strongly,,,Disagree strongly,Disagree strongly,Agree strongly,Disagree somewhat,Disagree somewhat,Agree strongly,Agree strongly,Agree somewhat,Agree strongly,Agree somewhat,Agree somewhat,Almost no chance (0-20%),Unlikely (20-40%),Much harder now,It has paid off somewhat,It will pay off a lot,It will pay off a lot,Average,Average,Average,Below average,"No, someone else also earns income","No, just myself",15000,60000,Somewhat certain,70000,15000,1000,,,,,25000,Will not have children,60000,Will not have children,70000,$0-$10,$21-$30,"$1,000 today","$1,000 today","$1,000 today","$1,000 today","$1,000 today","$1,000 today",Agree somewhat,1,2,4,5,3,Agree strongly,Probably not,Somewhat stable,Not very worried,Almost certain (90-100%),Less than 1 month,No risk,No risk,The risk is low,The risk is low,Much more progressive (lower earners should pay a lot less than they do now and higher earners should pay a lot more than they do now),Male,Single,,0,0,White or European American,,Yes,Yes,Michigan,48726,Rural,Michigan,Cass City,Rural,Not a student,2-year college degree,4-year college degree,Some college,2-year college degree,Unemployed and looking for work,Conservative,Liberal,I did not vote,I did not vote,Left-wing biased,,6712fe1173dfa2bfa2d6294b,late
7/24/25 13:36,7/24/25 13:45,IP Address,174.172.63.130,100,517,TRUE,7/24/25 13:45,R_6y7AOgmFwXIFma1,,,,,38.8418,-76.9189,anonymous,EN,1,1,F_XBQ2mVrFc1KBe9j,signature.png,9307,image/png,,29,The government should concern itself with this.,,No change,,,,,,Support slightly,,,Disagree strongly,Agree somewhat,Agree somewhat,Agree somewhat,Disagree somewhat,Unsure,Agree strongly,Disagree somewhat,Agree strongly,Disagree somewhat,Agree strongly,Almost no chance (0-20%),Unlikely (20-40%),Much harder now,It has not paid off much,It will pay off somewhat,It will pay off somewhat,Below average,Average,Far below average,Below average,"No, someone else also earns income","No, just myself",2000,30000,Not very certain,36000,20000,22000,,,,,32000,Will not have children,32000,Will not have children,34000,$11-$20,$41-$50,"$1,000 today","$1,000 today","$1,000 today","$1,000 today","$1,000 today","$1,000 today",Disagree somewhat,1,2,4,5,3,Agree somewhat,Maybe,Very unstable,Very worried,Unlikely (10-40%),Less than 1 month,No risk,The risk is low,I already live without health insurance,The risk is high,Somewhat more progressive,Male,Single,,0,0,White or European American,,Yes,Yes,Maryland,20743,Urban,Maryland,Capitol Heights,Suburban,Not a student,High school degree / GED,High school degree / GED,Some college,Some high school,Unemployed and looking for work,Moderate,Moderate,I did not vote,Donald Trump,Unbiased,,62e750fa810b090c094dc2f0,late
7/24/25 13:37,7/24/25 13:45,IP Address,192.173.51.188,100,480,TRUE,7/24/25 13:45,R_69o1xGikt9OpKXn,,,,,35.9077,-94.9905,anonymous,EN,0.8999999761581421,1,F_TbBhGIjeoSWfR5v,signature.png,10134,image/png,,22,The government should concern itself with this.,,I now support redistribution slightly more than in the past,,I think the policy is more fair now,,,,,,Support strongly,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Disagree strongly,Disagree somewhat,Almost no chance (0-20%),Unlikely (20-40%),Much harder now,It has not paid off much,It will pay off somewhat,It will pay off somewhat,Below average,Average,Below average,Below average,Yes,"Yes, more than one person",37000,75000,Somewhat certain,80000,60000,,110000,Somewhat certain,180000,95000,50000,Will not have children,70000,Will not have children,70000,$0-$10,$0-$10,"$1,000 today","$1,500 in 1 year","$2,000 in 1 year","$1,000 today","$1,000 today","$1,000 today",Disagree somewhat,2,5,4,1,3,Agree somewhat,Definitely not,Very stable,Not worried at all,Almost certain (90-100%),More than 6 months,No risk,The risk is low,The risk is low,The risk is substantial,Much more progressive (lower earners should pay a lot less than they do now and higher earners should pay a lot more than they do now),Female,Cohabitating,,0,0,American Indian or Alaska Native,,Yes,Yes,Oklahoma,74464,Suburban,Oklahoma,,Suburban,"Master's program (e.g., MA, MS, MBA)",4-year college degree,"Master's degree (e.g., MA, MS, MBA)",Some college,,Full-time employee,Liberal,Liberal,Kamala Harris,Joe Biden,Unbiased,,664fa6197cd2ac12ab45da27,late
7/24/25 13:35,7/24/25 13:45,IP Address,24.191.43.107,100,597,TRUE,7/24/25 13:45,R_3UsqW05ju5mz7wd,,,,,40.8731,-74.7426,anonymous,EN,1,1,F_2B2lI5W9NlQsnNe,signature.png,11034,image/png,,23,The government should not concern itself with this.,,No change,,,,,,Reject moderately,,,Agree somewhat,Agree strongly,Agree strongly,Agree strongly,Indifferent,Disagree strongly,Disagree somewhat,Disagree somewhat,Agree somewhat,Disagree somewhat,Agree strongly,Unlikely (20-40%),Likely (60-80%),Much harder now,It has paid off somewhat,It will pay off somewhat,It will pay off somewhat,Average,Average,Average,Average,"No, someone else also earns income","Yes, more than one person",60000,100000,Very certain,200000,70000,250000,350000,Somewhat certain,500000,200000,150000,Will have children,250000,Will have children,250000,$41-$50,$0-$10,"$1,000 today","$1,500 in 1 year","$2,000 in 1 year","$1,000 today","$1,000 today","$1,000 today",Indifferent,2,3,4,5,1,Disagree somewhat,Probably not,Very stable,Not worried at all,Almost certain (90-100%),More than 6 months,No risk,No risk,No risk,The risk is low,Somewhat less progressive,Female,Single,,0,3,White or European American,,Yes,Yes,New Jersey,07828,Rural,New Jersey,Mount Olive,Rural,4-year college,4-year college degree,"Master's degree (e.g., MA, MS, MBA)",2-year college degree,High school degree / GED,Full-time employee,Conservative,Conservative,Donald Trump,Donald Trump,Unbiased,,675bb7988a2f6d0d8ae94684,late
7/24/25 13:35,7/24/25 13:45,IP Address,76.164.119.66,100,631,TRUE,7/24/25 13:45,R_52e9VMvF6FIzsaJ,,,,,30.3587,-95.6857,anonymous,EN,1,1,F_yUOgvmIKrcRAnYZ,signature.png,5980,image/png,,28,The government should not concern itself with this.,,I now support redistribution slightly more than in the past,,"I think the policy is better for the economy now,I think the policy is more fair now",,,,,Support slightly,,Disagree strongly,Disagree somewhat,Agree strongly,Agree strongly,Agree somewhat,Agree somewhat,Indifferent,Disagree somewhat,Agree somewhat,Disagree somewhat,Agree somewhat,Almost no chance (0-20%),Unlikely (20-40%),Somewhat harder now,It has not paid off much,It will pay off somewhat,It will pay off somewhat,Average,Average,Above average,Average,Yes,"Yes, more than one person",75000,185000,Somewhat certain,350000,90000,,150000,Somewhat certain,650000,350000,70000,Will have children,200000,Will have children,250000,$21-$30,$11-$20,"$1,000 today","$1,000 today","$1,000 today","$1,000 today","$1,000 today","$1,000 today",Agree strongly,4,5,3,1,2,Neutral,Definitely / I have already started a business,Somewhat stable,Not very worried,Even chance (40-60%),1–3 months,The risk is substantial,The risk is low,The risk is low,The risk is low,Somewhat more progressive,Male,Single,,0,2,"Asian or Asian American,White or European American",,No,No,Texas,77304,Suburban,Texas,Singapore,Urban,Not a student,4-year college degree,4-year college degree,4-year college degree,4-year college degree,Full-time employee,Moderate,Moderate,Donald Trump,Joe Biden,Unbiased,Straight forward study !,65a700a7fa22d5f150d08b09,late
7/24/25 13:38,7/24/25 13:46,IP Address,67.132.112.34,100,506,TRUE,7/24/25 13:46,R_5CNViEdoJR4DqA0,,,,,39.9834,-105.143,anonymous,EN,1,1,F_3dMKZ4FCReYIvvI,signature.png,11268,image/png,,25,The government should not concern itself with this.,,No change,,,,,,Reject moderately,,,Disagree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,Unsure,Unsure,Disagree somewhat,Disagree somewhat,Unsure,Disagree somewhat,Agree strongly,Likely (60-80%),Almost guaranteed (80-100%),Somewhat harder now,It has paid off a lot,It will pay off a lot,It will pay off somewhat,Average,Below average,Far above average,Above average,"No, someone else also earns income","Yes, more than one person",72000,200000,Not very certain,250000,100000,144000,350000,Not very certain,500000,190000,100000,Will have children,150000,Will have children,175000,$0-$10,$21-$30,"$1,000 today","$1,500 in 1 year","$2,000 in 1 year","$1,000 today","$1,000 today","$1,000 today",Disagree strongly,1,3,2,5,4,Disagree somewhat,Maybe,Somewhat stable,Not very worried,Even chance (40-60%),3–6 months,The risk is substantial,No risk,The risk is low,The risk is low,No change,Male,Married,,0,2,White or European American,,Yes,Yes,Colorado,80020,Suburban,Michigan,Romeo,Rural,Not a student,4-year college degree,"Master's degree (e.g., MA, MS, MBA)",2-year college degree,"Master's degree (e.g., MA, MS, MBA)",Full-time employee,Conservative,Moderate,Donald Trump,Donald Trump,Left-wing biased,,67a3940b5886c0df14017090,late
7/24/25 13:42,7/24/25 13:47,IP Address,99.61.1.62,100,297,TRUE,7/24/25 13:47,R_1fGG0WgmyF0ShFf,,,,,33.8775,-84.5017,anonymous,EN,1,1,F_TplxvTRI6gacbHX,signature.png,8355,image/png,,24,The government should concern itself with this.,,No change,,,,,,,Support strongly,,Disagree somewhat,Disagree strongly,Agree somewhat,Indifferent,Disagree strongly,Agree somewhat,Agree strongly,Agree somewhat,Agree somewhat,Neutral,Disagree strongly,Almost no chance (0-20%),Almost no chance (0-20%),Much harder now,It has not paid off much,It will not pay off much,It will not pay off much,Average,Average,Far above average,Average,Yes,"No, just myself",72000,80000,Not very certain,80000,65000,,,,,,50000,Will have children,72000,Will have children,72000,$0-$10,$0-$10,"$1,100 in 1 year","$1,500 in 1 year","$2,000 in 1 year","$1,000 today","$1,500 in 5 years","$2,000 in 5 years",Disagree somewhat,1,4,3,5,2,Agree somewhat,Definitely / I have already started a business,Somewhat stable,Not very worried,Unlikely (10-40%),1–3 months,The risk is substantial,No risk,I already live without health insurance,The risk is high,Much more progressive (lower earners should pay a lot less than they do now and higher earners should pay a lot more than they do now),Female,Single,,0,3,White or European American,,Yes,Yes,Georgia,30008,Suburban,Massachusetts,Beverly,Suburban,4-year college,Some college,4-year college degree,High school degree / GED,High school degree / GED,Full-time employee,Liberal,Liberal,Kamala Harris,Joe Biden,Unbiased,,5de8613ddf86d37c8a8ab294,late
7/24/25 13:38,7/24/25 13:48,IP Address,71.176.119.224,100,569,TRUE,7/24/25 13:48,R_6QJHz1XNbYnYECE,,,,,42.9285,-76.5591,anonymous,EN,0.800000012,1,F_2adsp2UAnFQCuuB,signature.png,9862,image/png,,23,The government should not concern itself with this.,,I now support redistribution much less than in the past,,,,"Taxes affect me more now,I think the policy is less fair now",,,,Reject slightly,Disagree somewhat,Agree somewhat,Indifferent,Disagree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,Neutral,Agree strongly,Unlikely (20-40%),Even chance (40-60%),Much harder now,It has not paid off much,It will pay off somewhat,It will pay off somewhat,Average,Below average,Above average,Far below average,"No, someone else also earns income","No, just myself",50000,80000,Somewhat certain,100000,65000,110000,,,,,60000,Will not have children,110000,Will not have children,110000,$21-$30,$41-$50,"$1,000 today","$1,000 today","$2,000 in 1 year","$1,000 today","$1,000 today","$1,000 today",Agree somewhat,2,1,3,5,4,Disagree somewhat,Probably not,Neutral,Very worried,Unlikely (10-40%),3–6 months,The risk is low,The risk is low,The risk is low,I have already owned or currently own a home,Much less progressive (everyone should be taxed at about the same rate),Male,Single,,0,0,White or European American,,Yes,Yes,New York,14062,Suburban,New York,Rochester,Suburban,4-year college,Some college,4-year college degree,4-year college degree,2-year college degree,Student,Conservative,Conservative,Donald Trump,Donald Trump,Unbiased,,6784863a028ac25ee3f395ee,late
7/24/25 13:40,7/24/25 13:48,IP Address,173.161.213.245,100,458,TRUE,7/24/25 13:48,R_1O61SuUnUNNtTLQ,,,,,39.9597,-75.1995,anonymous,EN,0.8999999761581421,1,F_2wcy9Dq0P7hgogo,signature.png,12656,image/png,,29,The government should concern itself with this.,,I now support redistribution much more than in the past,,"I think the policy is better for the economy now,I think the policy is more fair now",,,,,Support moderately,,Disagree somewhat,Disagree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Disagree somewhat,Unlikely (20-40%),Unlikely (20-40%),Somewhat harder now,It has paid off somewhat,It will pay off somewhat,It will pay off somewhat,Below average,Below average,Below average,Average,Yes,"No, just myself",54000,90000,Somewhat certain,75000,65000,,,,,,70000,Will have children,120000,Will have children,120000,$41-$50,$41-$50,"$1,000 today","$1,500 in 1 year","$2,000 in 1 year","$1,000 today","$1,000 today","$1,000 today",Agree somewhat,1,3,5,2,4,Agree somewhat,Probably not,Somewhat stable,Not very worried,Likely (60-90%),Less than 1 month,The risk is low,The risk is low,The risk is low,The risk is substantial,Somewhat more progressive,Female,Single,,0,2,White or European American,,Yes,Yes,Pennsylvania,19123,Urban,Pennsylvania,Hazleton,Urban,Not a student,4-year college degree,"Master's degree (e.g., MA, MS, MBA)",High school degree / GED,Some high school,Full-time employee,Liberal,Liberal,Kamala Harris,Joe Biden,Left-wing biased,,60ee4bb7de4352af0286e091,late
