prolificid,timestart,duration,flag,badsig,recaptcha,age,shouldconcern,progressivity,progressivity_timing,viewchange,viewchange_oth,viewbetter,viewbetter_oth,viewworse,viewworse_oth,proposal,proposal_group,taxdemotivates,gapmotivates,fundedu,protecttrade,cuttaxes,univhealth,wealthtax,zerosumrich,zerosumceo,zerosumwomen,zerosumdei,moveup20,moveup50,moveupnow,workhaspaid,workwillpay,eduwillpay,compmoth,compfath,compfam,compper,nohh,hhin10,pinc,pinc10est,pinc10cert,pinc10high,pinc10low,hhinc,hhinc10exp,hhinc10cert,hhinc10high,hhinc10low,hhincneed,child30s,hhincneed30s,child40s,hhincneed40s,stranger100,friend100,oneyr1100,oneyr1500,oneyr2000,fiveyr1100,fiveyr1500,fiveyr2000,currentdesires,ranksalary,rankflex,rankgrowth,rankmeaning,rankenviron,satisfiedbasics,startbiz,stableincome,worriedjob,similarjob,safetynet,riskai,riskclimate,riskhealth,riskhome,gender,marital,marital_oth,children,childrenplan,race,race_oth,usborn,usbornparents,state,zip,density,homestate,hometown,homedensity,student,edu,eduplan,edumoth,edufath,employment,ideolecon,ideolsocial,vote2024,vote2020,surveybias,feedback
6712fe1173dfa2bfa2d6294b,7/24/25 13:34,609,,,1,27,The government should concern itself with this.,Much more progressive (lower earners should pay a lot less than they do now and higher earners should pay a lot more than they do now),late,No change,,,,,,Support strongly,poor,Disagree strongly,Disagree strongly,Agree strongly,Disagree somewhat,Disagree somewhat,Agree strongly,Agree strongly,Agree somewhat,Agree strongly,Agree somewhat,Agree somewhat,Almost no chance (0-20%),Unlikely (20-40%),Much harder now,It has paid off somewhat,It will pay off a lot,It will pay off a lot,Average,Average,Average,Below average,"No, someone else also earns income","No, just myself",15000,60000,Somewhat certain,70000,15000,1000,,,,,25000,Will not have children,60000,Will not have children,70000,$0-$10,$21-$30,"$1,000 today","$1,000 today","$1,000 today","$1,000 today","$1,000 today","$1,000 today",Agree somewhat,1,2,4,5,3,Agree strongly,Probably not,Somewhat stable,Not very worried,Almost certain (90-100%),Less than 1 month,No risk,No risk,The risk is low,The risk is low,Male,Single,,0,0,White or European American,,Yes,Yes,Michigan,48726,Rural,Michigan,Cass City,Rural,Not a student,2-year college degree,4-year college degree,Some college,2-year college degree,Unemployed and looking for work,Conservative,Liberal,I did not vote,I did not vote,Left-wing biased,
67a8bfb2f846cd3ea9bcd898,7/24/25 13:34,1049,,,1,28,The government should concern itself with this.,Somewhat less progressive,late,I now support redistribution slightly less than in the past,,,,I think the policy is worse for the economy now,,Support slightly,middle,Agree somewhat,Agree somewhat,Agree somewhat,Disagree somewhat,Agree somewhat,Indifferent,Indifferent,Agree somewhat,Neutral,Neutral,Agree somewhat,Unlikely (20-40%),Even chance (40-60%),Somewhat harder now,It has paid off somewhat,It will not pay off much,It will pay off somewhat,Below average,Average,Above average,Average,Yes,"No, just myself",65000,65000,Somewhat certain,73000,0,,,,,,1000000,Will have children,1000000,Will have children,1000000,$31-$40,$21-$30,"$1,000 today","$1,500 in 1 year","$2,000 in 1 year","$1,000 today","$1,500 in 5 years","$2,000 in 5 years",Disagree strongly,1,4,2,5,3,Disagree strongly,Maybe,Somewhat stable,Somewhat worried,Likely (60-90%),Less than 1 month,The risk is substantial,The risk is high,The risk is substantial,The risk is substantial,Female,Single,,0,4,Black or African American,,Yes,Yes,Ohio,44146,Suburban,Ohio,cleveland,Urban,Not a student,Some college,Some college,Some college,Some college,Full-time employee,Liberal,Liberal,Kamala Harris,Joe Biden,Left-wing biased,
671ce7ade7a5cd2edc847b94,7/24/25 13:35,992,,,1,29,The government should not concern itself with this.,No change,late,No change,,,,,,Support strongly,both,Disagree strongly,Agree somewhat,Agree strongly,Disagree strongly,Agree somewhat,Agree strongly,Agree strongly,Disagree strongly,Agree strongly,Disagree strongly,Agree somewhat,Even chance (40-60%),Even chance (40-60%),Much easier now,It has paid off a lot,It will pay off a lot,It will pay off somewhat,Average,Average,Above average,Average,"No, someone else also earns income","Yes, more than one person",10000,20000,Very certain,15000,9000,10000,20000,Very certain,15000,9000,10000,Will have children,10000,Will have children,10000,$0-$10,$0-$10,"$1,000 today","$1,000 today","$2,000 in 1 year","$1,000 today","$1,000 today","$1,000 today",Agree strongly,1,3,5,4,2,Agree strongly,Maybe,Very stable,Not worried at all,Almost certain (90-100%),3–6 months,The risk is substantial,The risk is low,The risk is substantial,No risk,Male,Single,,1,Unsure,Black or African American,,Yes,Yes,Illinois,62203,Urban,Illinois,East Saint Louis,Urban,Not a student,High school degree / GED,High school degree / GED,4-year college degree,4-year college degree,Full-time employee,Moderate,Moderate,Donald Trump,Donald Trump,Unbiased,
65a700a7fa22d5f150d08b09,7/24/25 13:35,631,,,1,28,The government should not concern itself with this.,Somewhat more progressive,late,I now support redistribution slightly more than in the past,,"I think the policy is better for the economy now,I think the policy is more fair now",,,,Support slightly,both,Disagree strongly,Disagree somewhat,Agree strongly,Agree strongly,Agree somewhat,Agree somewhat,Indifferent,Disagree somewhat,Agree somewhat,Disagree somewhat,Agree somewhat,Almost no chance (0-20%),Unlikely (20-40%),Somewhat harder now,It has not paid off much,It will pay off somewhat,It will pay off somewhat,Average,Average,Above average,Average,Yes,"Yes, more than one person",75000,185000,Somewhat certain,350000,90000,,150000,Somewhat certain,650000,350000,70000,Will have children,200000,Will have children,250000,$21-$30,$11-$20,"$1,000 today","$1,000 today","$1,000 today","$1,000 today","$1,000 today","$1,000 today",Agree strongly,4,5,3,1,2,Neutral,Definitely / I have already started a business,Somewhat stable,Not very worried,Even chance (40-60%),1–3 months,The risk is substantial,The risk is low,The risk is low,The risk is low,Male,Single,,0,2,"Asian or Asian American,White or European American",,No,No,Texas,77304,Suburban,Texas,Singapore,Urban,Not a student,4-year college degree,4-year college degree,4-year college degree,4-year college degree,Full-time employee,Moderate,Moderate,Donald Trump,Joe Biden,Unbiased,Straight forward study !
675bb7988a2f6d0d8ae94684,7/24/25 13:35,597,,,1,23,The government should not concern itself with this.,Somewhat less progressive,late,No change,,,,,,Reject moderately,poor,Agree somewhat,Agree strongly,Agree strongly,Agree strongly,Indifferent,Disagree strongly,Disagree somewhat,Disagree somewhat,Agree somewhat,Disagree somewhat,Agree strongly,Unlikely (20-40%),Likely (60-80%),Much harder now,It has paid off somewhat,It will pay off somewhat,It will pay off somewhat,Average,Average,Average,Average,"No, someone else also earns income","Yes, more than one person",60000,100000,Very certain,200000,70000,250000,350000,Somewhat certain,500000,200000,150000,Will have children,250000,Will have children,250000,$41-$50,$0-$10,"$1,000 today","$1,500 in 1 year","$2,000 in 1 year","$1,000 today","$1,000 today","$1,000 today",Indifferent,2,3,4,5,1,Disagree somewhat,Probably not,Very stable,Not worried at all,Almost certain (90-100%),More than 6 months,No risk,No risk,No risk,The risk is low,Female,Single,,0,3,White or European American,,Yes,Yes,New Jersey,07828,Rural,New Jersey,Mount Olive,Rural,4-year college,4-year college degree,"Master's degree (e.g., MA, MS, MBA)",2-year college degree,High school degree / GED,Full-time employee,Conservative,Conservative,Donald Trump,Donald Trump,Unbiased,
5ca937309ac82a0001312c88,7/24/25 13:36,713,,,.89999998,26,The government should concern itself with this.,Much more progressive (lower earners should pay a lot less than they do now and higher earners should pay a lot more than they do now),late,I now support redistribution much more than in the past,,"I think the policy is better for the economy now,I think the policy is more fair now",,,,Support strongly,poor,Disagree strongly,Disagree strongly,Disagree somewhat,Agree strongly,Indifferent,Agree somewhat,Agree strongly,Agree strongly,Agree strongly,Agree somewhat,Agree strongly,Almost no chance (0-20%),Almost no chance (0-20%),Somewhat harder now,It has paid off somewhat,It will pay off a lot,It will pay off somewhat,Far below average,Far below average,Below average,Average,"No, someone else also earns income","Yes, more than one person",45000,120000,Somewhat certain,100000,90000,120000,200000,Somewhat certain,180000,160000,70000,Will have children,140000,Will have children,150000,$41-$50,$11-$20,"$1,000 today","$1,500 in 1 year","$2,000 in 1 year","$1,000 today","$1,000 today","$1,000 today",Agree somewhat,1,2,3,4,5,Disagree somewhat,Probably,Somewhat stable,Not very worried,Even chance (40-60%),1–3 months,The risk is substantial,No risk,I already live without health insurance,The risk is low,Male,Single,,0,3,Hispanic or Latino,,Yes,No,Illinois,60126,Suburban,Illinois,Cicero,Urban,Not a student,4-year college degree,"Master's degree (e.g., MA, MS, MBA)",Eighth grade or less,High school degree / GED,Full-time employee,Liberal,Conservative,Kamala Harris,Joe Biden,Left-wing biased,
62d43cee3d60ac98c1dcacc8,7/24/25 13:36,1698,,,.89999998,28,The government should concern itself with this.,No change,late,No change,,,,,,Indifferent,middle,Unsure,Unsure,Indifferent,Unsure,Unsure,Unsure,Disagree strongly,Neutral,Neutral,Unsure,Unsure,Unsure,Unsure,Unsure,It has paid off somewhat,It will pay off somewhat,Unsure,Average,Average,Average,Unsure,"No, someone else also earns income","Yes, more than one person",5000,10000,Not very certain,15000,5000,75000,85000,Not very certain,85000,75000,100000,Will not have children,100000,Will not have children,100000,$91-$100,$0-$10,"$1,000 today","$1,500 in 1 year","$2,000 in 1 year","$1,000 today","$1,000 today","$1,000 today",Indifferent,1,2,5,3,4,Neutral,Definitely / I have already started a business,Neutral,Not worried at all,Almost no chance (0-10%),Less than 1 month,No risk,No risk,I already live without health insurance,I have already owned or currently own a home,Male,Single,,0,0,White or European American,,Yes,Yes,Michigan,48081,Suburban,Michigan,Saint Clair Shores,Suburban,Not a student,High school degree / GED,High school degree / GED,4-year college degree,High school degree / GED,Self-employed or small business owner,Moderate,Moderate,I did not vote,I did not vote,Unbiased,I think that this survey was pretty unique and interesting overall and I had a fun time participating in this study.
62e750fa810b090c094dc2f0,7/24/25 13:36,517,,,1,29,The government should concern itself with this.,Somewhat more progressive,late,No change,,,,,,Support slightly,poor,Disagree strongly,Agree somewhat,Agree somewhat,Agree somewhat,Disagree somewhat,Unsure,Agree strongly,Disagree somewhat,Agree strongly,Disagree somewhat,Agree strongly,Almost no chance (0-20%),Unlikely (20-40%),Much harder now,It has not paid off much,It will pay off somewhat,It will pay off somewhat,Below average,Average,Far below average,Below average,"No, someone else also earns income","No, just myself",2000,30000,Not very certain,36000,20000,22000,,,,,32000,Will not have children,32000,Will not have children,34000,$11-$20,$41-$50,"$1,000 today","$1,000 today","$1,000 today","$1,000 today","$1,000 today","$1,000 today",Disagree somewhat,1,2,4,5,3,Agree somewhat,Maybe,Very unstable,Very worried,Unlikely (10-40%),Less than 1 month,No risk,The risk is low,I already live without health insurance,The risk is high,Male,Single,,0,0,White or European American,,Yes,Yes,Maryland,20743,Urban,Maryland,Capitol Heights,Suburban,Not a student,High school degree / GED,High school degree / GED,Some college,Some high school,Unemployed and looking for work,Moderate,Moderate,I did not vote,Donald Trump,Unbiased,
6667ccc61b0989bff9d014d6,7/24/25 13:36,881,,,.89999998,22,The government should concern itself with this.,Much more progressive (lower earners should pay a lot less than they do now and higher earners should pay a lot more than they do now),late,No change,,,,,,Support strongly,both,Disagree strongly,Disagree strongly,Agree strongly,Disagree somewhat,Unsure,Agree strongly,Agree strongly,Disagree somewhat,Agree strongly,Disagree strongly,Neutral,Unlikely (20-40%),Unlikely (20-40%),Unsure,It has not paid off much,It will pay off somewhat,It will pay off a lot,Far below average,Far below average,Below average,Far below average,"No, someone else also earns income","Yes, more than one person",800,75000,Not very certain,100000,50000,40000,160000,Not very certain,225000,120000,60000,Will have children,180000,Will have children,150000,$11-$20,$51-$60,"$1,000 today","$1,500 in 1 year","$2,000 in 1 year","$1,000 today","$1,000 today","$2,000 in 5 years",Agree somewhat,1,4,5,2,3,Agree strongly,Definitely not,Somewhat unstable,Very worried,Almost no chance (0-10%),Less than 1 month,The risk is low,The risk is high,The risk is low,The risk is high,Male,Single,,0,Unsure,Asian or Asian American,,Yes,No,Florida,34243,Suburban,Florida,Hollywood,Suburban,"Master's program (e.g., MA, MS, MBA)",4-year college degree,"Master's degree (e.g., MA, MS, MBA)",Some high school,Some college,Student,Liberal,Moderate,Kamala Harris,I did not vote,Left-wing biased,
5f5e32a0d6a12c6857b8e127,7/24/25 13:36,955,,,1,29,The government should concern itself with this.,Much more progressive (lower earners should pay a lot less than they do now and higher earners should pay a lot more than they do now),late,I now support redistribution slightly more than in the past,,"I think the policy is better for the economy now,I think the policy is more fair now",,,,Support strongly,both,Disagree strongly,Disagree strongly,Agree strongly,Disagree somewhat,Disagree strongly,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Disagree somewhat,Agree somewhat,Almost no chance (0-20%),Unlikely (20-40%),Much harder now,It has paid off somewhat,It will pay off somewhat,It will not pay off much,Average,Average,Above average,Average,"No, someone else also earns income","Yes, more than one person",85000,130000,Not very certain,180000,70000,145000,240000,Not very certain,300000,120000,120000,Will have children,120000,Will have children,120000,$31-$40,$31-$40,"$1,100 in 1 year","$1,500 in 1 year","$2,000 in 1 year","$1,000 today","$1,500 in 5 years","$2,000 in 5 years",Disagree somewhat,1,5,2,4,3,Disagree somewhat,Maybe,Very stable,Not worried at all,Likely (60-90%),More than 6 months,No risk,The risk is low,No risk,I have already owned or currently own a home,Male,Married,,1,1,White or European American,,Yes,Yes,California,95765,Suburban,California,"Rocklin, CA",Suburban,4-year college,Some college,4-year college degree,2-year college degree,"Master's degree (e.g., MA, MS, MBA)",Full-time employee,Liberal,Liberal,Kamala Harris,Joe Biden,Left-wing biased,none
